Ano,UF,Produto_lavouras,kg_hectare
2013,Pernambuco,Soja (em grão),-
2013,Alagoas,Milho (em grão),615
2013,Alagoas,Soja (em grão),-
2013,Sergipe,Milho (em grão),4727
2013,Sergipe,Soja (em grão),-
2013,Bahia,Milho (em grão),3698
2013,Bahia,Soja (em grão),2283
2013,Minas Gerais,Milho (em grão),6132
2013,Minas Gerais,Soja (em grão),2933
2013,Espírito Santo,Milho (em grão),2545
2013,Espírito Santo,Soja (em grão),-
2013,Rio de Janeiro,Milho (em grão),2362
2013,Rio de Janeiro,Soja (em grão),-
2013,Guanabara,Milho (em grão),...
2013,Guanabara,Soja (em grão),...
2013,São Paulo,Milho (em grão),5381
2013,São Paulo,Soja (em grão),3022
2013,Paraná,Milho (em grão),5802
2013,Paraná,Soja (em grão),3347
2013,Santa Catarina,Milho (em grão),6868
2013,Santa Catarina,Soja (em grão),3043
2013,Rio Grande do Sul,Milho (em grão),5398
2013,Rio Grande do Sul,Soja (em grão),2698
2013,Mato Grosso do Sul,Milho (em grão),4925
2013,Mato Grosso do Sul,Soja (em grão),2909
2013,Mato Grosso,Milho (em grão),5908
2013,Mato Grosso,Soja (em grão),2959
2013,Goiás,Milho (em grão),6250
2013,Goiás,Soja (em grão),3024
2013,Distrito Federal,Milho (em grão),7904
2013,Distrito Federal,Soja (em grão),2900
2014,Rondônia,Milho (em grão),3518
2014,Rondônia,Soja (em grão),3202
2014,Acre,Milho (em grão),2489
2014,Acre,Soja (em grão),2738
2014,Amazonas,Milho (em grão),2944
2014,Amazonas,Soja (em grão),-
2014,Roraima,Milho (em grão),2483
2014,Roraima,Soja (em grão),2122
2014,Pará,Milho (em grão),2876
2014,Pará,Soja (em grão),3033
2014,Amapá,Milho (em grão),911
2014,Amapá,Soja (em grão),2578
2014,Tocantins,Milho (em grão),3699
2014,Tocantins,Soja (em grão),2915
2014,Maranhão,Milho (em grão),2754
2014,Maranhão,Soja (em grão),2769
2014,Piauí,Milho (em grão),2749
2014,Piauí,Soja (em grão),2375
2014,Ceará,Milho (em grão),737
2014,Ceará,Soja (em grão),-
2014,Rio Grande do Norte,Milho (em grão),562
2014,Rio Grande do Norte,Soja (em grão),-
2014,Paraíba,Milho (em grão),421
2014,Paraíba,Soja (em grão),2400
2014,Pernambuco,Milho (em grão),325
2014,Pernambuco,Soja (em grão),-
2014,Alagoas,Milho (em grão),502
2014,Alagoas,Soja (em grão),-
2014,Sergipe,Milho (em grão),4691
2014,Sergipe,Soja (em grão),-
2014,Bahia,Milho (em grão),4448
2014,Bahia,Soja (em grão),2512
2014,Minas Gerais,Milho (em grão),5476
2014,Minas Gerais,Soja (em grão),2705
2014,Espírito Santo,Milho (em grão),2709
2014,Espírito Santo,Soja (em grão),-
2014,Rio de Janeiro,Milho (em grão),2407
2014,Rio de Janeiro,Soja (em grão),-
2014,Guanabara,Milho (em grão),...
2014,Guanabara,Soja (em grão),...
2014,São Paulo,Milho (em grão),5126
2014,São Paulo,Soja (em grão),2468
2014,Paraná,Milho (em grão),6185
2014,Paraná,Soja (em grão),2976
2014,Santa Catarina,Milho (em grão),7217
2014,Santa Catarina,Soja (em grão),2978
2014,Rio Grande do Sul,Milho (em grão),5831
2014,Rio Grande do Sul,Soja (em grão),2615
2014,Mato Grosso do Sul,Milho (em grão),5172
2014,Mato Grosso do Sul,Soja (em grão),2938
2014,Mato Grosso,Milho (em grão),5426
2014,Mato Grosso,Soja (em grão),3076
2014,Goiás,Milho (em grão),6469
2014,Goiás,Soja (em grão),2814
2014,Distrito Federal,Milho (em grão),9347
2014,Distrito Federal,Soja (em grão),3000
2015,Rondônia,Milho (em grão),4479
2015,Rondônia,Soja (em grão),3204
2015,Acre,Milho (em grão),2461
2015,Acre,Soja (em grão),-
2015,Amazonas,Milho (em grão),3135
2015,Amazonas,Soja (em grão),-
2015,Roraima,Milho (em grão),2974
2015,Roraima,Soja (em grão),2342
2015,Pará,Milho (em grão),3319
2015,Pará,Soja (em grão),3034
2015,Amapá,Milho (em grão),943
2015,Amapá,Soja (em grão),2640
2015,Tocantins,Milho (em grão),3947
2015,Tocantins,Soja (em grão),2914
2015,Maranhão,Milho (em grão),3060
2015,Maranhão,Soja (em grão),2758
2015,Piauí,Milho (em grão),2972
2015,Piauí,Soja (em grão),2659
2015,Ceará,Milho (em grão),264
2015,Ceará,Soja (em grão),-
2015,Rio Grande do Norte,Milho (em grão),375
2015,Rio Grande do Norte,Soja (em grão),-
2015,Paraíba,Milho (em grão),239
2015,Paraíba,Soja (em grão),-
2015,Pernambuco,Milho (em grão),335
2015,Pernambuco,Soja (em grão),-
2015,Alagoas,Milho (em grão),822
2015,Alagoas,Soja (em grão),1978
2015,Sergipe,Milho (em grão),3284
2015,Sergipe,Soja (em grão),-
2015,Bahia,Milho (em grão),3815
2015,Bahia,Soja (em grão),3134
2015,Minas Gerais,Milho (em grão),5609
2015,Minas Gerais,Soja (em grão),2654
2015,Espírito Santo,Milho (em grão),2292
2015,Espírito Santo,Soja (em grão),-
2015,Rio de Janeiro,Milho (em grão),2630
2015,Rio de Janeiro,Soja (em grão),-
2015,Guanabara,Milho (em grão),...
2015,Guanabara,Soja (em grão),...
2015,São Paulo,Milho (em grão),5803
2015,São Paulo,Soja (em grão),3039
2015,Paraná,Milho (em grão),6472
2015,Paraná,Soja (em grão),3288
2015,Santa Catarina,Milho (em grão),7606
2015,Santa Catarina,Soja (em grão),3287
2015,Rio Grande do Sul,Milho (em grão),6509
2015,Rio Grande do Sul,Soja (em grão),2983
2015,Mato Grosso do Sul,Milho (em grão),5785
2015,Mato Grosso do Sul,Soja (em grão),3108
2015,Mato Grosso,Milho (em grão),5980
2015,Mato Grosso,Soja (em grão),3106
2015,Goiás,Milho (em grão),6786
2015,Goiás,Soja (em grão),2640
2015,Distrito Federal,Milho (em grão),8098
2015,Distrito Federal,Soja (em grão),2626
2016,Rondônia,Milho (em grão),3824
2016,Rondônia,Soja (em grão),3087
2016,Acre,Milho (em grão),2263
2016,Acre,Soja (em grão),1500
2016,Amazonas,Milho (em grão),2559
2016,Amazonas,Soja (em grão),-
2016,Roraima,Milho (em grão),3342
2016,Roraima,Soja (em grão),2802
2016,Pará,Milho (em grão),3260
2016,Pará,Soja (em grão),3007
2016,Amapá,Milho (em grão),981
2016,Amapá,Soja (em grão),2850
2016,Tocantins,Milho (em grão),3592
2016,Tocantins,Soja (em grão),2321
2016,Maranhão,Milho (em grão),2052
2016,Maranhão,Soja (em grão),1586
2016,Piauí,Milho (em grão),1464
2016,Piauí,Soja (em grão),1147
2016,Ceará,Milho (em grão),242
2016,Ceará,Soja (em grão),-
2016,Rio Grande do Norte,Milho (em grão),382
2016,Rio Grande do Norte,Soja (em grão),-
2016,Paraíba,Milho (em grão),185
2016,Paraíba,Soja (em grão),-
2016,Pernambuco,Milho (em grão),145
2016,Pernambuco,Soja (em grão),-
2016,Alagoas,Milho (em grão),1508
2016,Alagoas,Soja (em grão),3041
2016,Sergipe,Milho (em grão),1591
2016,Sergipe,Soja (em grão),-
2016,Bahia,Milho (em grão),3451
2016,Bahia,Soja (em grão),2120
2016,Minas Gerais,Milho (em grão),5302
2016,Minas Gerais,Soja (em grão),3254
2016,Espírito Santo,Milho (em grão),2879
2016,Espírito Santo,Soja (em grão),-
2016,Rio de Janeiro,Milho (em grão),2690
2016,Rio de Janeiro,Soja (em grão),-
2016,Guanabara,Milho (em grão),...
2016,Guanabara,Soja (em grão),...
2016,São Paulo,Milho (em grão),5310
2016,São Paulo,Soja (em grão),3290
2016,Paraná,Milho (em grão),5406
2016,Paraná,Soja (em grão),3141
2016,Santa Catarina,Milho (em grão),7022
2016,Santa Catarina,Soja (em grão),3238
2016,Rio Grande do Sul,Milho (em grão),6406
2016,Rio Grande do Sul,Soja (em grão),2982
2016,Mato Grosso do Sul,Milho (em grão),3593
2016,Mato Grosso do Sul,Soja (em grão),3062
2016,Mato Grosso,Milho (em grão),4106
2016,Mato Grosso,Soja (em grão),2887
2016,Goiás,Milho (em grão),4339
2016,Goiás,Soja (em grão),3093
2016,Distrito Federal,Milho (em grão),4168
2016,Distrito Federal,Soja (em grão),3300
2017,Rondônia,Milho (em grão),4333
2017,Rondônia,Soja (em grão),3261
2017,Acre,Milho (em grão),2561
2017,Acre,Soja (em grão),2055
2017,Amazonas,Milho (em grão),2516
2017,Amazonas,Soja (em grão),-
2017,Roraima,Milho (em grão),6254
2017,Roraima,Soja (em grão),2407
2017,Pará,Milho (em grão),3266
2017,Pará,Soja (em grão),3262
2017,Amapá,Milho (em grão),983
2017,Amapá,Soja (em grão),2878
2017,Tocantins,Milho (em grão),3716
2017,Tocantins,Soja (em grão),2862
2017,Maranhão,Milho (em grão),3515
2017,Maranhão,Soja (em grão),2851
2017,Piauí,Milho (em grão),3185
2017,Piauí,Soja (em grão),2907
2017,Ceará,Milho (em grão),663
2017,Ceará,Soja (em grão),-
2017,Rio Grande do Norte,Milho (em grão),302
2017,Rio Grande do Norte,Soja (em grão),-
2017,Paraíba,Milho (em grão),355
2017,Paraíba,Soja (em grão),-
2017,Pernambuco,Milho (em grão),408
2017,Pernambuco,Soja (em grão),-
2017,Alagoas,Milho (em grão),1211
2017,Alagoas,Soja (em grão),2787
2017,Sergipe,Milho (em grão),4985
2017,Sergipe,Soja (em grão),-
2017,Bahia,Milho (em grão),3836
2017,Bahia,Soja (em grão),3248
2017,Minas Gerais,Milho (em grão),6405
2017,Minas Gerais,Soja (em grão),3468
2017,Espírito Santo,Milho (em grão),2836
2017,Espírito Santo,Soja (em grão),-
2017,Rio de Janeiro,Milho (em grão),2990
2017,Rio de Janeiro,Soja (em grão),-
2017,Guanabara,Milho (em grão),...
2017,Guanabara,Soja (em grão),...
2017,São Paulo,Milho (em grão),5871
2017,São Paulo,Soja (em grão),3478
2017,Paraná,Milho (em grão),6185
2017,Paraná,Soja (em grão),3663
2017,Santa Catarina,Milho (em grão),8285
2017,Santa Catarina,Soja (em grão),3698
2017,Rio Grande do Sul,Milho (em grão),7298
2017,Rio Grande do Sul,Soja (em grão),3385
2017,Mato Grosso do Sul,Milho (em grão),5361
2017,Mato Grosso do Sul,Soja (em grão),3473
2017,Mato Grosso,Milho (em grão),6258
2017,Mato Grosso,Soja (em grão),3290
2017,Goiás,Milho (em grão),6120
2017,Goiás,Soja (em grão),3414
2017,Distrito Federal,Milho (em grão),7052
2017,Distrito Federal,Soja (em grão),3450
2018,Rondônia,Milho (em grão),3971
2018,Rondônia,Soja (em grão),3325
2018,Acre,Milho (em grão),2675
2018,Acre,Soja (em grão),2938
2018,Amazonas,Milho (em grão),2295
2018,Amazonas,Soja (em grão),-
2018,Roraima,Milho (em grão),4877
2018,Roraima,Soja (em grão),2808
2018,Pará,Milho (em grão),3489
2018,Pará,Soja (em grão),2939
2018,Amapá,Milho (em grão),849
2018,Amapá,Soja (em grão),3115
2018,Tocantins,Milho (em grão),3731
2018,Tocantins,Soja (em grão),2900
2018,Maranhão,Milho (em grão),3196
2018,Maranhão,Soja (em grão),2969
2018,Piauí,Milho (em grão),3389
2018,Piauí,Soja (em grão),3473
2018,Ceará,Milho (em grão),825
2018,Ceará,Soja (em grão),2375
2018,Rio Grande do Norte,Milho (em grão),613
2018,Rio Grande do Norte,Soja (em grão),-
2018,Paraíba,Milho (em grão),600
2018,Paraíba,Soja (em grão),-
2018,Pernambuco,Milho (em grão),423
2018,Pernambuco,Soja (em grão),-
2018,Alagoas,Milho (em grão),1924
2018,Alagoas,Soja (em grão),2322
2018,Sergipe,Milho (em grão),3189
2018,Sergipe,Soja (em grão),-
2018,Bahia,Milho (em grão),4381
2018,Bahia,Soja (em grão),3936
2018,Minas Gerais,Milho (em grão),6475
2018,Minas Gerais,Soja (em grão),3603
2018,Espírito Santo,Milho (em grão),3019
2018,Espírito Santo,Soja (em grão),-
2018,Rio de Janeiro,Milho (em grão),2891
2018,Rio de Janeiro,Soja (em grão),-
2018,Guanabara,Milho (em grão),...
2018,Guanabara,Soja (em grão),...
2018,São Paulo,Milho (em grão),5218
2018,São Paulo,Soja (em grão),3505
2018,Paraná,Milho (em grão),5327
2018,Paraná,Soja (em grão),3540
2018,Santa Catarina,Milho (em grão),7732
2018,Santa Catarina,Soja (em grão),3470
2018,Rio Grande do Sul,Milho (em grão),6539
2018,Rio Grande do Sul,Soja (em grão),3104
2018,Mato Grosso do Sul,Milho (em grão),3912
2018,Mato Grosso do Sul,Soja (em grão),3638
2018,Mato Grosso,Milho (em grão),5925
2018,Mato Grosso,Soja (em grão),3349
2018,Goiás,Milho (em grão),5999
2018,Goiás,Soja (em grão),3462
2018,Distrito Federal,Milho (em grão),6173
2018,Distrito Federal,Soja (em grão),3540
2019,Rondônia,Milho (em grão),4459
2019,Rondônia,Soja (em grão),3454
2019,Acre,Milho (em grão),2615
2019,Acre,Soja (em grão),3177
2019,Amazonas,Milho (em grão),2340
